	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
42	3.0937e-02	1.7150e-02	1.0119e-02	1.6308e-02	1.1807e-02	7.8747e-03	7.4792e-03	3.5807e-03	2.6898e-03	4.4040e-02	2.6194e-02	2.0086e-02	6.9225e-01	3.6507e-01	1.9450e-01	1.2076e-01	7.4354e-02	4.1165e-02	4.8029e-02	2.8503e-02	2.1162e-02	2.4773e-01	1.6246e-01	1.0055e-01
44	2.7302e-02	1.4248e-02	7.5856e-03	1.3829e-02	9.3994e-03	5.7884e-03	6.7613e-03	3.1607e-03	2.3603e-03	4.2081e-02	2.4194e-02	1.8761e-02	6.4797e-01	3.6382e-01	2.1981e-01	1.1567e-01	7.0675e-02	3.9539e-02	4.7084e-02	2.9172e-02	2.3175e-02	2.3982e-01	1.5803e-01	9.5425e-02
46	2.4568e-02	1.2657e-02	6.5588e-03	1.1760e-02	7.2051e-03	4.4797e-03	6.1797e-03	3.0697e-03	2.5016e-03	3.7766e-02	2.0744e-02	1.5155e-02	6.3541e-01	3.7970e-01	2.3562e-01	1.0934e-01	6.8352e-02	3.8705e-02	4.9088e-02	3.1970e-02	2.5236e-02	2.3124e-01	1.5158e-01	9.0758e-02
48	2.3805e-02	1.2163e-02	6.4169e-03	1.1213e-02	6.5892e-03	4.3160e-03	5.8128e-03	3.2353e-03	2.7804e-03	3.2400e-02	1.7304e-02	1.1031e-02	6.2872e-01	3.8414e-01	2.3338e-01	1.0428e-01	6.3126e-02	3.7428e-02	4.9984e-02	3.2852e-02	2.5106e-02	2.2116e-01	1.4268e-01	8.5006e-02
50	2.2519e-02	1.1170e-02	5.5566e-03	1.0784e-02	6.2968e-03	3.7097e-03	5.6573e-03	3.4773e-03	3.1397e-03	2.8760e-02	1.4898e-02	8.1047e-03	6.0744e-01	3.6431e-01	2.0416e-01	9.8207e-02	5.9068e-02	3.4200e-02	4.7985e-02	3.1500e-02	2.3196e-02	2.1082e-01	1.3455e-01	7.7601e-02
52	1.9651e-02	9.0902e-03	4.1182e-03	9.9019e-03	5.9362e-03	3.0420e-03	5.5024e-03	3.5185e-03	3.2749e-03	2.6722e-02	1.3692e-02	7.0469e-03	5.7111e-01	3.3323e-01	1.7578e-01	9.2096e-02	5.3732e-02	2.9902e-02	4.4151e-02	2.8642e-02	2.0572e-02	2.0329e-01	1.2803e-01	6.8900e-02
54	1.6905e-02	7.4077e-03	3.5209e-03	9.3145e-03	5.8810e-03	3.3312e-03	5.1144e-03	3.1810e-03	3.0349e-03	2.5287e-02	1.3421e-02	6.9694e-03	5.3556e-01	2.9376e-01	1.4464e-01	8.7706e-02	5.0330e-02	2.5912e-02	4.0294e-02	2.5214e-02	1.7516e-02	1.9808e-01	1.2336e-01	6.2549e-02
56	1.5923e-02	7.9610e-03	4.7852e-03	9.4507e-03	6.2435e-03	4.1948e-03	4.5363e-03	2.5876e-03	2.5586e-03	2.4405e-02	1.3446e-02	7.5298e-03	4.8602e-01	2.5488e-01	1.2933e-01	8.2416e-02	4.6173e-02	2.2816e-02	3.6961e-02	2.1950e-02	1.4577e-02	1.9443e-01	1.1825e-01	5.8171e-02
58	1.6752e-02	9.3855e-03	5.5365e-03	9.6523e-03	6.5483e-03	4.9680e-03	4.1023e-03	2.1949e-03	2.2908e-03	2.3663e-02	1.3685e-02	8.2919e-03	4.4526e-01	2.3046e-01	1.2375e-01	7.7521e-02	4.2859e-02	2.2304e-02	3.3360e-02	1.9033e-02	1.2492e-02	1.9085e-01	1.1187e-01	5.2973e-02
60	1.7393e-02	1.0200e-02	5.8514e-03	9.6542e-03	6.5434e-03	5.0968e-03	4.1060e-03	2.4468e-03	2.6487e-03	2.3144e-02	1.3456e-02	8.4191e-03	4.1292e-01	2.2714e-01	1.2110e-01	7.5731e-02	4.1132e-02	2.3140e-02	3.0329e-02	1.7366e-02	1.1403e-02	1.8558e-01	1.0526e-01	4.8206e-02
62	1.7477e-02	1.0366e-02	6.2334e-03	9.3688e-03	6.3920e-03	5.0503e-03	4.4226e-03	2.9474e-03	3.1350e-03	2.2097e-02	1.2657e-02	7.7763e-03	3.9094e-01	2.2476e-01	1.1900e-01	6.9752e-02	4.0297e-02	2.2970e-02	2.7867e-02	1.6559e-02	1.0827e-02	1.7684e-01	9.9090e-02	4.3430e-02
64	1.6914e-02	1.0214e-02	6.5902e-03	8.9868e-03	6.1831e-03	5.0041e-03	4.6819e-03	3.3307e-03	3.4139e-03	2.0759e-02	1.1465e-02	6.5112e-03	3.7629e-01	2.1290e-01	1.1070e-01	6.7002e-02	3.8073e-02	2.2239e-02	2.5521e-02	1.5636e-02	1.0379e-02	1.6690e-01	9.2860e-02	3.8681e-02
66	1.6054e-02	9.6731e-03	6.6195e-03	8.3175e-03	5.7097e-03	4.5859e-03	4.6993e-03	3.4458e-03	3.4411e-03	1.9046e-02	1.0117e-02	5.4268e-03	3.5375e-01	1.9608e-01	1.0458e-01	6.2173e-02	3.5805e-02	2.0456e-02	2.3614e-02	1.4875e-02	9.9422e-03	1.5848e-01	8.8117e-02	3.5504e-02
68	1.4655e-02	8.5378e-03	6.1578e-03	7.4388e-03	5.0598e-03	4.0272e-03	4.4524e-03	3.2866e-03	3.2180e-03	1.7801e-02	9.1509e-03	4.8263e-03	3.3561e-01	1.8391e-01	9.6669e-02	5.8215e-02	3.3581e-02	1.9611e-02	2.3354e-02	1.4590e-02	9.6043e-03	1.5080e-01	8.3169e-02	3.2829e-02
70	1.2919e-02	6.9898e-03	5.1957e-03	6.5614e-03	4.1683e-03	3.1522e-03	4.0491e-03	2.9182e-03	2.8181e-03	1.7095e-02	8.9788e-03	5.2475e-03	3.2381e-01	1.7698e-01	8.7369e-02	5.3796e-02	3.0181e-02	1.7385e-02	2.3958e-02	1.4688e-02	9.6468e-03	1.4406e-01	7.8208e-02	3.0705e-02
72	1.1537e-02	6.0386e-03	4.6271e-03	5.8476e-03	3.6337e-03	2.8538e-03	3.5743e-03	2.4463e-03	2.3527e-03	1.7287e-02	9.7195e-03	6.2546e-03	3.1506e-01	1.6784e-01	7.6317e-02	5.1033e-02	2.7484e-02	1.5038e-02	2.4060e-02	1.4450e-02	9.7454e-03	1.3720e-01	7.3412e-02	2.8448e-02
74	1.1282e-02	6.3015e-03	4.7780e-03	5.7301e-03	3.8840e-03	2.9908e-03	3.0817e-03	1.9509e-03	1.8541e-03	1.7731e-02	1.0327e-02	6.7462e-03	2.9184e-01	1.4992e-01	6.6536e-02	4.7465e-02	2.5023e-02	1.3607e-02	2.3033e-02	1.3875e-02	9.5883e-03	1.3113e-01	6.8815e-02	2.6626e-02
76	1.1683e-02	6.9212e-03	4.6541e-03	6.1128e-03	4.5370e-03	3.2208e-03	2.7145e-03	1.5884e-03	1.6617e-03	1.7825e-02	1.0516e-02	6.6254e-03	2.6337e-01	1.3147e-01	6.0022e-02	4.2818e-02	2.2693e-02	1.2483e-02	2.1534e-02	1.3186e-02	9.2514e-03	1.2540e-01	6.3729e-02	2.4493e-02
78	1.2118e-02	7.2583e-03	4.2919e-03	6.7129e-03	4.9658e-03	3.5313e-03	2.5979e-03	1.6089e-03	1.7994e-03	1.7439e-02	1.0228e-02	6.1872e-03	2.3828e-01	1.1911e-01	5.6828e-02	3.9139e-02	2.0663e-02	1.1500e-02	2.0076e-02	1.2431e-02	8.5898e-03	1.1767e-01	5.7852e-02	2.2777e-02
80	1.2275e-02	7.1704e-03	3.9895e-03	6.8834e-03	5.0228e-03	3.5693e-03	2.7830e-03	1.9270e-03	2.2615e-03	1.6474e-02	9.5491e-03	5.6357e-03	2.2651e-01	1.1518e-01	5.3794e-02	3.7410e-02	1.9047e-02	1.0830e-02	1.8590e-02	1.1564e-02	7.7450e-03	1.0760e-01	5.2503e-02	2.1058e-02
82	1.2030e-02	6.8843e-03	3.7867e-03	6.5998e-03	4.7916e-03	3.5408e-03	3.0779e-03	2.2689e-03	2.6904e-03	1.5337e-02	8.7031e-03	4.9783e-03	2.1455e-01	1.0937e-01	5.3700e-02	3.3871e-02	1.8166e-02	9.9713e-03	1.7316e-02	1.0744e-02	6.8489e-03	9.9082e-02	4.7533e-02	1.9269e-02
84	1.1274e-02	6.4273e-03	3.7467e-03	6.0014e-03	4.3660e-03	3.3286e-03	3.2912e-03	2.4671e-03	2.9641e-03	1.4428e-02	7.8980e-03	4.3530e-03	2.0639e-01	1.0493e-01	5.3131e-02	3.1666e-02	1.7539e-02	9.3139e-03	1.6305e-02	1.0051e-02	5.9314e-03	9.1904e-02	4.3731e-02	1.7076e-02
86	1.0147e-02	5.7019e-03	3.4040e-03	5.3021e-03	3.8355e-03	2.8782e-03	3.3400e-03	2.4814e-03	3.0639e-03	1.3842e-02	7.3590e-03	3.9690e-03	1.9754e-01	1.0065e-01	4.9976e-02	3.0657e-02	1.5910e-02	8.3827e-03	1.5374e-02	9.1328e-03	5.1360e-03	8.4473e-02	3.9877e-02	1.4950e-02
88	9.0466e-03	4.8832e-03	2.9008e-03	4.6368e-03	3.3202e-03	2.4561e-03	3.2192e-03	2.3191e-03	2.9231e-03	1.3254e-02	6.9888e-03	3.9171e-03	1.8955e-01	9.7677e-02	4.6417e-02	2.8021e-02	1.4360e-02	7.4644e-03	1.4380e-02	8.2714e-03	4.6456e-03	7.8082e-02	3.7220e-02	1.3320e-02
90	8.1217e-03	4.1986e-03	2.3889e-03	4.2013e-03	2.8489e-03	2.1466e-03	2.9728e-03	2.0358e-03	2.6291e-03	1.2797e-02	6.8174e-03	3.9872e-03	1.8166e-01	9.1755e-02	4.4097e-02	2.6594e-02	1.3555e-02	7.2369e-03	1.3673e-02	7.6730e-03	4.5100e-03	7.2571e-02	3.5133e-02	1.2853e-02
92	7.4070e-03	3.9007e-03	2.2593e-03	3.9077e-03	2.6025e-03	1.9551e-03	2.6479e-03	1.7104e-03	2.2720e-03	1.2552e-02	6.8353e-03	4.2906e-03	1.7026e-01	8.3531e-02	4.1167e-02	2.6081e-02	1.3214e-02	7.2226e-03	1.3393e-02	7.6408e-03	4.9186e-03	6.8380e-02	3.3370e-02	1.2945e-02
94	7.1093e-03	3.9123e-03	2.2287e-03	3.7487e-03	2.4834e-03	1.8288e-03	2.3319e-03	1.4176e-03	1.9007e-03	1.2369e-02	6.8689e-03	4.3261e-03	1.6190e-01	7.5802e-02	3.7448e-02	2.4082e-02	1.2390e-02	7.0911e-03	1.3580e-02	8.0305e-03	5.4800e-03	6.4918e-02	3.1936e-02	1.2741e-02
96	7.0399e-03	3.9842e-03	2.1779e-03	3.6513e-03	2.4093e-03	1.6473e-03	2.1228e-03	1.2137e-03	1.6270e-03	1.2234e-02	6.7411e-03	4.1548e-03	1.4627e-01	6.8550e-02	3.2790e-02	2.3499e-02	1.1980e-02	6.9676e-03	1.3712e-02	8.5551e-03	6.1558e-03	6.1331e-02	3.0278e-02	1.2366e-02
98	6.9298e-03	4.0408e-03	2.2873e-03	3.6746e-03	2.4493e-03	1.5884e-03	2.0787e-03	1.1943e-03	1.6654e-03	1.1922e-02	6.4170e-03	3.7969e-03	1.3093e-01	6.2201e-02	2.9329e-02	2.1647e-02	1.1418e-02	6.4961e-03	1.3237e-02	8.5231e-03	6.2848e-03	5.8696e-02	2.8426e-02	1.1657e-02
100	6.8933e-03	4.0964e-03	2.5307e-03	3.7239e-03	2.5101e-03	1.7629e-03	2.1654e-03	1.3654e-03	1.8454e-03	1.1490e-02	5.9499e-03	3.3968e-03	1.1892e-01	5.5420e-02	2.6074e-02	1.9896e-02	1.0486e-02	5.7408e-03	1.2084e-02	7.8652e-03	5.7746e-03	5.6874e-02	2.6774e-02	1.0590e-02
102	6.9285e-03	4.2235e-03	2.7726e-03	3.7668e-03	2.6183e-03	1.9564e-03	2.2853e-03	1.5383e-03	1.9802e-03	1.0937e-02	5.4951e-03	3.0453e-03	1.0637e-01	5.0060e-02	2.3604e-02	1.9052e-02	9.3215e-03	5.0047e-03	1.0522e-02	6.8286e-03	4.8491e-03	5.4903e-02	2.5156e-02	9.3891e-03
104	6.8413e-03	4.1998e-03	2.8651e-03	3.6930e-03	2.6073e-03	2.0066e-03	2.3761e-03	1.6538e-03	2.0569e-03	1.0244e-02	5.0609e-03	2.7531e-03	9.8308e-02	4.6931e-02	2.0485e-02	1.7520e-02	8.4065e-03	4.2557e-03	9.1236e-03	5.6592e-03	3.7530e-03	5.3109e-02	2.3382e-02	8.0742e-03
106	6.5907e-03	3.9467e-03	2.7830e-03	3.4705e-03	2.5089e-03	1.9767e-03	2.4000e-03	1.6920e-03	2.0563e-03	9.6658e-03	4.7793e-03	2.4345e-03	9.3772e-02	4.3572e-02	1.9007e-02	1.6233e-02	7.7280e-03	3.6162e-03	8.1927e-03	4.6289e-03	2.8503e-03	5.0417e-02	2.2029e-02	7.4764e-03
108	6.1335e-03	3.5609e-03	2.5927e-03	3.1104e-03	2.3084e-03	1.8415e-03	2.3519e-03	1.6522e-03	1.9786e-03	9.1014e-03	4.6054e-03	2.3584e-03	9.1241e-02	4.0631e-02	1.9133e-02	1.5373e-02	7.4426e-03	3.6357e-03	7.6474e-03	4.0170e-03	2.3323e-03	4.7325e-02	2.1385e-02	7.4480e-03
110	5.6038e-03	3.0938e-03	2.2944e-03	2.7201e-03	2.0268e-03	1.6138e-03	2.2353e-03	1.5452e-03	1.8366e-03	8.7204e-03	4.4513e-03	2.2927e-03	8.6721e-02	3.8323e-02	1.9734e-02	1.4983e-02	7.3599e-03	3.9821e-03	7.3479e-03	3.8082e-03	2.3651e-03	4.5079e-02	2.0750e-02	7.4213e-03
112	5.0263e-03	2.6588e-03	1.9956e-03	2.4236e-03	1.7168e-03	1.3924e-03	2.0899e-03	1.3956e-03	1.6742e-03	8.3318e-03	4.2685e-03	2.2521e-03	8.1355e-02	3.8333e-02	2.0157e-02	1.4202e-02	7.1228e-03	4.3889e-03	7.1434e-03	3.9746e-03	2.6386e-03	4.3280e-02	2.0117e-02	7.1873e-03
114	4.5184e-03	2.3456e-03	1.7777e-03	2.2428e-03	1.5057e-03	1.2199e-03	1.9316e-03	1.2373e-03	1.5226e-03	7.9432e-03	4.0412e-03	2.2134e-03	7.8345e-02	4.0569e-02	2.0954e-02	1.3416e-02	7.1600e-03	4.6566e-03	6.9764e-03	4.1958e-03	2.9131e-03	4.1919e-02	1.8697e-02	6.6698e-03
116	4.1511e-03	2.1726e-03	1.6410e-03	2.0995e-03	1.3424e-03	1.1093e-03	1.7874e-03	1.0980e-03	1.4146e-03	7.5255e-03	3.8155e-03	2.1725e-03	7.6043e-02	4.2410e-02	2.1091e-02	1.3145e-02	7.2087e-03	4.8563e-03	6.8077e-03	4.3457e-03	3.1134e-03	4.0496e-02	1.7252e-02	5.9847e-03
118	3.8944e-03	2.0496e-03	1.4825e-03	1.9946e-03	1.2604e-03	1.0017e-03	1.6715e-03	9.9463e-04	1.3748e-03	7.1511e-03	3.6367e-03	2.0744e-03	7.1874e-02	4.1569e-02	2.0244e-02	1.2709e-02	7.1309e-03	4.7930e-03	6.6505e-03	4.3827e-03	3.1985e-03	3.9400e-02	1.6050e-02	5.3167e-03
120	3.7246e-03	2.0056e-03	1.3236e-03	1.9699e-03	1.2297e-03	9.2812e-04	1.5897e-03	9.3512e-04	1.3515e-03	6.8876e-03	3.4829e-03	2.0224e-03	6.7912e-02	3.8645e-02	1.8600e-02	1.2035e-02	6.7678e-03	4.4422e-03	6.4554e-03	4.2718e-03	3.1153e-03	3.7966e-02	1.5070e-02	4.7499e-03
122	3.6436e-03	2.0040e-03	1.2426e-03	2.0297e-03	1.2774e-03	9.5123e-04	1.5565e-03	9.1952e-04	1.3491e-03	6.6553e-03	3.3601e-03	2.0104e-03	6.1928e-02	3.4255e-02	1.5706e-02	1.1424e-02	6.1916e-03	3.8244e-03	6.1845e-03	4.0475e-03	2.8805e-03	3.5831e-02	1.3901e-02	4.3733e-03
124	3.6778e-03	2.0772e-03	1.2152e-03	2.1249e-03	1.3529e-03	1.0222e-03	1.5737e-03	9.5616e-04	1.3962e-03	6.4662e-03	3.3207e-03	2.0858e-03	5.6181e-02	2.9698e-02	1.3869e-02	1.0456e-02	5.5381e-03	3.2705e-03	5.7966e-03	3.7261e-03	2.5835e-03	3.3713e-02	1.2926e-02	4.1022e-03
126	3.8287e-03	2.1838e-03	1.2311e-03	2.2504e-03	1.4551e-03	1.0999e-03	1.6238e-03	1.0302e-03	1.4907e-03	6.2852e-03	3.3138e-03	2.2189e-03	5.1638e-02	2.5987e-02	1.2500e-02	9.5305e-03	4.8931e-03	2.8582e-03	5.3118e-03	3.3651e-03	2.2486e-03	3.1866e-02	1.2087e-02	3.8011e-03
128	3.9297e-03	2.2504e-03	1.2628e-03	2.3252e-03	1.5411e-03	1.2160e-03	1.6866e-03	1.1154e-03	1.5854e-03	6.0823e-03	3.2471e-03	2.2293e-03	4.7957e-02	2.3705e-02	1.1517e-02	8.6810e-03	4.4179e-03	2.6486e-03	4.7740e-03	2.9481e-03	1.8669e-03	3.0229e-02	1.1267e-02	3.5899e-03
130	3.9125e-03	2.2370e-03	1.2521e-03	2.2958e-03	1.5293e-03	1.2357e-03	1.7440e-03	1.1928e-03	1.6749e-03	5.8300e-03	3.1220e-03	2.0569e-03	4.6634e-02	2.3377e-02	1.1405e-02	8.1937e-03	4.1053e-03	2.5364e-03	4.2639e-03	2.5038e-03	1.4349e-03	2.8116e-02	1.0416e-02	3.4076e-03
132	3.7345e-03	2.1259e-03	1.1652e-03	2.1407e-03	1.4211e-03	1.1444e-03	1.7898e-03	1.2444e-03	1.7466e-03	5.4602e-03	2.8981e-03	1.8885e-03	4.7400e-02	2.3807e-02	1.1902e-02	7.9160e-03	3.9969e-03	2.5186e-03	3.9470e-03	2.2585e-03	1.2130e-03	2.6481e-02	9.8053e-03	3.1896e-03
134	3.4050e-03	1.8747e-03	9.8102e-04	1.8799e-03	1.2298e-03	9.3713e-04	1.8064e-03	1.2570e-03	1.7860e-03	5.0961e-03	2.6093e-03	1.7017e-03	4.7801e-02	2.4571e-02	1.2454e-02	7.4895e-03	3.9176e-03	2.5531e-03	3.8322e-03	2.2745e-03	1.4189e-03	2.5133e-02	9.3440e-03	2.9563e-03
136	2.9853e-03	1.5452e-03	7.2844e-04	1.5802e-03	9.7315e-04	6.6184e-04	1.7835e-03	1.2257e-03	1.7827e-03	4.8225e-03	2.4031e-03	1.5699e-03	4.6669e-02	2.4654e-02	1.2447e-02	7.1865e-03	3.9028e-03	2.6215e-03	3.8999e-03	2.4036e-03	1.6723e-03	2.3820e-02	8.8688e-03	2.7859e-03
138	2.6992e-03	1.3448e-03	6.6322e-04	1.3574e-03	8.0096e-04	5.6746e-04	1.7202e-03	1.1514e-03	1.7201e-03	4.7742e-03	2.4532e-03	1.6463e-03	4.5643e-02	2.4083e-02	1.2035e-02	6.9741e-03	3.7926e-03	2.6008e-03	4.0455e-03	2.5667e-03	1.8792e-03	2.2726e-02	8.3673e-03	2.7017e-03
