	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
22	7.3799e-02	4.2012e-02	2.3862e-02	3.8012e-02	2.6572e-02	1.4422e-02	2.0168e-02	1.5114e-02	1.2015e-02	1.0215e-01	5.0926e-02	2.7404e-02	2.5973e+00	1.6532e+00	8.7982e-01	2.4939e-01	1.7252e-01	1.0476e-01	2.1916e-01	1.2862e-01	8.5540e-02	3.5609e-01	2.3516e-01	1.6526e-01
24	5.7731e-02	3.2339e-02	2.3986e-02	3.1858e-02	2.1635e-02	1.5776e-02	1.6783e-02	1.2059e-02	8.5763e-03	9.1706e-02	4.6204e-02	2.7127e-02	2.3361e+00	1.4231e+00	7.6386e-01	2.2903e-01	1.5527e-01	9.4310e-02	1.8838e-01	1.0522e-01	6.5676e-02	3.3237e-01	2.2351e-01	1.5266e-01
26	5.8674e-02	3.7059e-02	2.7345e-02	3.3354e-02	2.3727e-02	1.9424e-02	1.3520e-02	8.6450e-03	5.1996e-03	8.8449e-02	4.8948e-02	3.0318e-02	2.0196e+00	1.2131e+00	6.4814e-01	2.0966e-01	1.3805e-01	8.5453e-02	1.5348e-01	8.1946e-02	4.8205e-02	3.1781e-01	2.1077e-01	1.4157e-01
28	6.5558e-02	4.2072e-02	2.5561e-02	3.3911e-02	2.4946e-02	1.9821e-02	1.1964e-02	7.4018e-03	5.1817e-03	9.0476e-02	5.3175e-02	3.1434e-02	1.7520e+00	1.0163e+00	5.3023e-01	1.9836e-01	1.3376e-01	8.4251e-02	1.2905e-01	7.0089e-02	4.3100e-02	3.0451e-01	1.9779e-01	1.2310e-01
30	6.6884e-02	4.1643e-02	2.2740e-02	3.3429e-02	2.4204e-02	1.7679e-02	1.2346e-02	8.5451e-03	7.0162e-03	8.6836e-02	5.1965e-02	2.8930e-02	1.4864e+00	8.1690e-01	4.2463e-01	1.8816e-01	1.2924e-01	8.2052e-02	1.1661e-01	6.7217e-02	4.3006e-02	2.8768e-01	1.8664e-01	1.0853e-01
32	6.1343e-02	3.6687e-02	1.9384e-02	2.8863e-02	2.0095e-02	1.3291e-02	1.3559e-02	9.7127e-03	8.8222e-03	8.2614e-02	4.6078e-02	2.3199e-02	1.2784e+00	6.5803e-01	3.4839e-01	1.7343e-01	1.1729e-01	7.4575e-02	1.0449e-01	6.3698e-02	4.2920e-02	2.7864e-01	1.7815e-01	1.0307e-01
34	5.1188e-02	2.8977e-02	1.6097e-02	2.2577e-02	1.5255e-02	9.5100e-03	1.3850e-02	9.7047e-03	9.1808e-03	7.6655e-02	3.8145e-02	1.7145e-02	1.1421e+00	5.8639e-01	3.0211e-01	1.6121e-01	1.0927e-01	7.1856e-02	9.1748e-02	5.7236e-02	3.9473e-02	2.7313e-01	1.7110e-01	1.0224e-01
36	4.3561e-02	2.2741e-02	1.4616e-02	1.9379e-02	1.2953e-02	8.9750e-03	1.2441e-02	7.9597e-03	7.6766e-03	7.0757e-02	3.2324e-02	1.4341e-02	1.0188e+00	5.6615e-01	2.8422e-01	1.5474e-01	1.0259e-01	6.5906e-02	8.2772e-02	5.0942e-02	3.5270e-02	2.6327e-01	1.6532e-01	1.0250e-01
38	4.0995e-02	2.2099e-02	1.6354e-02	1.9338e-02	1.3686e-02	1.1193e-02	1.0156e-02	5.4413e-03	5.1411e-03	6.7438e-02	3.1467e-02	1.3751e-02	9.0659e-01	5.3080e-01	2.5664e-01	1.4989e-01	9.6357e-02	5.7979e-02	7.5470e-02	4.4460e-02	3.0622e-02	2.5501e-01	1.6011e-01	1.0270e-01
40	3.9103e-02	2.2016e-02	1.4916e-02	1.9678e-02	1.4263e-02	1.0579e-02	8.4101e-03	4.0685e-03	3.2661e-03	6.5608e-02	3.0363e-02	1.6370e-02	7.9650e-01	4.6293e-01	2.2833e-01	1.3978e-01	8.8591e-02	4.9040e-02	6.8158e-02	3.9539e-02	2.6482e-02	2.3785e-01	1.5235e-01	9.6300e-02
